YEAR,METEOROLOGICAL DROUGHT,HYDROLOGICAL DROUGHT,AGRICULTURAL DROUGHT,AREA UNDER CULTIVATION,YIELD
,,,,25689,76320
1966,-0.5,0.85,0.41,42921,130215
1967,1.62,0.44,1.54,29467,71580
1968,-1.69,-0.01,0.17,36136,114560
1969,0.13,0.47,0.52,25682,123490
1970,0.12,-1.09,-0.62,39684,47256
1971,0.11,-0.56,0.12,37568,108230
1972,0.87,0.01,0.99,40117,169090
1973,0.87,0.11,1.04,33244,87675
1974,0.34,-1.08,-0.46,25420,75840
1975,-1.46,1.11,-0.44,29305,81890
1976,0.31,-1.08,0.39,29208,105240
1977,0.79,-0.27,-0.29,37067,155876
1978,1.15,0.31,1.66,30155,114070
1979,-1.03,-0.53,-1.12,26014,98060
1980,-0.55,1.04,0.12,29323,92270
1981,0.05,0.94,-0.47,31607,93662
1982,0.53,-0.23,-0.19,30139,74976
1983,-0.66,-0.67,-0.52,29713,86992
1984,-0.11,-0.01,0.12,27828,61240
1985,-0.49,1.14,-0.31,29489,92620
1986,0.5,2.19,0.05,42921,130200
1987,1.93,-0.05,2.13,29267,71580
1988,-1.23,-0.15,-1.46,36136,111250
1989,0.42,-0.39,0.54,36782,123490
1990,0.91,0.02,0.53,21684,47200
1991,-0.96,-0.64,-1.06,34268,108690
1992,0.16,0.80,0.59,40117,169090
1993,0.82,0.18,1.14,36744,87080
1994,-0.85,0.52,-1.07,17420,16840
1995,-0.44,1.60,-0.59,28905,81890
1996,-0.58,1.00,0.08,36208,112240
1997,1.38,-0.32,1.35,37067,155040
1998,1.89,-0.13,2.25,32555,131070
1999,0.21,-1.07,-0.03,26014,73060
2000,-2.26,-0.16,-0.69,29388,92270
2001,1.08,-0.81,0.64,31607,86662
2002,-0.71,-0.81,-0.85,24139,43976
2003,-1.32,0.46,-1.32,29713,86992
2004,-0.76,1.72,-0.42,30776,98482
2005,0.59,0.75,0.68,32735,158214
2006,0.64,-2.03,0.29,28214,93093
2007,0.69,-0.39,0.16,32497,104587
2008,-0.2,-1.12,0.05,26617,64716
2009,-1.28,-0.81,-1.61,30568,94515
2010,1.64,-0.91,1.74,29658,118469
2011,0.75,-1.69,0.43,22973,40467
2012,-0.36,-1.25,-0.89,,
